时间戳,Unix时间戳,模型路径,摄像头索引,置信度阈值,IoU阈值,时间间隔,推理设备,最大帧数
2025-12-24 17:48:52,1766569732.2770815,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-24 17:49:06,1766569746.9692354,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:23:41,1766820221.9616141,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:24:19,1766820259.8391645,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:27:13,1766820433.9687748,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:27:33,1766820453.966165,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:28:05,1766820485.8626785,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:28:41,1766820521.400547,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:29:31,1766820571.3713508,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:29:52,1766820592.2061374,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:30:07,1766820607.8445902,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:30:15,1766820615.9325843,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:30:31,1766820631.9778943,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:30:52,1766820652.4803503,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:31:33,1766820693.6235836,model\best.pt,0,0.3,0.15,1.0,cpu,
2025-12-27 15:31:56,1766820716.0161664,model\best.pt,0,0.3,0.15,1.0,cpu,
2025-12-27 15:32:21,1766820741.40149,model\best.pt,0,0.3,0.15,1.0,cpu,
2025-12-27 15:32:39,1766820759.7545469,model\best.pt,0,0.3,0.15,1.0,cpu,
2025-12-27 15:58:21,1766822301.6497397,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 15:58:44,1766822324.8264139,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 16:02:22,1766822542.1464195,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 16:02:35,1766822555.1619916,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-27 16:02:47,1766822567.7890773,model\best.pt,0,0.3,0.15,1.0,cpu,
2025-12-27 16:03:01,1766822581.9911542,model\best.pt,0,0.3,0.15,1.0,cpu,
2025-12-27 16:08:21,1766822901.8427758,model\best.pt,0,0.3,0.15,1.0,cpu,
2025-12-27 16:08:42,1766822922.7395918,model\best.pt,0,0.3,0.15,1.0,cpu,
2025-12-31 11:01:28,1767150088.0846972,model\best.pt,0,0.15,0.25,1.0,cpu,
2025-12-31 11:01:46,1767150106.0343087,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-03 16:34:30,1767429270.144264,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0,0.06,0.15,1.0,cpu,
2026-01-03 16:35:06,1767429306.2084196,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0,0.06,0.15,1.0,cpu,
2026-01-06 15:26:55,1767684415.7370632,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 15:34:44,1767684884.0677607,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 15:39:07,1767685147.102699,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 15:58:26,1767686306.5071235,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 16:02:34,1767686554.5250404,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 16:03:00,1767686580.816692,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 16:08:19,1767686899.9485133,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 16:14:29,1767687269.9361012,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 16:17:10,1767687430.4638882,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 16:21:03,1767687663.1130726,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 16:30:09,1767688209.3424659,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 16:37:15,1767688635.3873239,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-06 16:46:13,1767689173.7558775,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-07 11:22:32,1767756152.4617996,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-07 11:33:52,1767756832.9572172,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-07 11:43:55,1767757435.89617,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-07 11:51:17,1767757877.0549266,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-07 12:03:46,1767758626.95368,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-07 14:41:43,1767768103.0665867,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-07 14:56:45,1767769005.4393334,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-12 12:01:03,1768190463.697623,model\best.pt,0,0.15,0.25,1.0,cpu,
2026-01-12 12:02:15,1768190535.924806,model\best.pt,0,0.3,0.25,1.0,cpu,
