epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1124,2.93606,3.99762,2.59534,0.00333,0.69231,0.00665,0.00119,3.20105,4.1259,2.99736,8e-05,8e-05,8e-05
2,15.6163,2.91928,3.88436,2.57051,0.00222,0.46154,0.01678,0.00353,3.3784,4.20856,3.03242,0.000179822,0.000179822,0.000179822
3,16.5211,2.71974,3.77179,2.49332,0.00222,0.46154,0.00237,0.00091,3.25083,4.2491,2.83154,0.000279446,0.000279446,0.000279446
4,17.1857,2.72871,3.73722,2.49001,0.00259,0.53846,0.00272,0.00122,3.00385,4.20686,2.87183,0.000378871,0.000378871,0.000378871
5,17.7595,2.80558,3.65902,2.5125,0.00148,0.30769,0.00196,0.00025,3.8407,4.23336,4.02687,0.000478099,0.000478099,0.000478099
6,18.3909,2.59274,3.74001,2.48564,0.00148,0.30769,0.00125,0.00024,4.03521,4.42998,4.8954,0.000577129,0.000577129,0.000577129
7,19.0919,2.52227,3.5571,2.35027,0.00333,0.69231,0.00511,0.00144,3.08416,4.43681,3.29524,0.000675961,0.000675961,0.000675961
8,19.7721,2.47136,3.50326,2.39374,0.0037,0.76923,0.00412,0.00121,2.94071,4.17609,3.16681,0.000774595,0.000774595,0.000774595
9,20.5593,2.6372,3.41554,2.46784,0.00222,0.46154,0.00263,0.00044,3.08413,4.15389,3.9757,0.00087303,0.00087303,0.00087303
10,21.2307,2.58938,3.4557,2.42851,0.00185,0.38462,0.00194,0.00036,3.4599,4.31696,4.53324,0.000971268,0.000971268,0.000971268
11,21.9456,2.73895,3.52492,2.60506,0.00296,0.61538,0.00951,0.00177,3.11819,4.41783,3.65628,0.00106931,0.00106931,0.00106931
12,22.6361,2.53021,3.37279,2.36339,0.00333,0.69231,0.02301,0.00778,3.2353,4.07489,3.53368,0.00116715,0.00116715,0.00116715
13,23.317,2.5992,3.41102,2.52979,0.21069,0.07692,0.03501,0.00467,2.90526,3.96269,3.99967,0.00126479,0.00126479,0.00126479
14,23.975,2.69442,3.28326,2.52277,0.00333,0.69231,0.00456,0.00092,3.18809,4.42718,4.34306,0.00136224,0.00136224,0.00136224
15,24.5739,2.60251,3.32417,2.42659,0.00148,0.30769,0.00126,0.00045,3.40178,5.55261,4.95787,0.00145949,0.00145949,0.00145949
16,25.2939,2.6398,3.31646,2.51012,0.00398,0.07692,0.00262,0.00076,3.36941,13.5638,8.48753,0.00155654,0.00155654,0.00155654
17,25.9583,2.60515,3.13131,2.5292,0.00576,0.15385,0.00278,0.00089,3.57687,20.2006,10.6462,0.00165339,0.00165339,0.00165339
18,26.6268,2.5422,3.09906,2.47082,0.00656,0.07692,0.00246,0.00036,3.88601,16.0329,14.0983,0.00175004,0.00175004,0.00175004
19,27.2366,2.62683,3.16286,2.56765,0.00148,0.30769,0.00104,0.00017,3.76231,10.9143,8.20873,0.0018465,0.0018465,0.0018465
20,27.8994,2.77651,3.13056,2.55194,0.00227,0.38462,0.00188,0.00062,3.59359,14.3318,5.89778,0.00194276,0.00194276,0.00194276
21,28.5564,2.74158,3.079,2.57028,0.0023,0.15385,0.00099,0.00027,3.87857,233.82,9.42029,0.0019604,0.0019604,0.0019604
22,29.3318,2.61901,3.10175,2.49624,0.00237,0.23077,0.00132,0.00043,3.64251,130.392,6.31991,0.00195842,0.00195842,0.00195842
23,30.0068,2.68825,3.04816,2.51764,0.0032,0.07692,0.00154,0.00039,3.82427,29.2543,6.5988,0.00195644,0.00195644,0.00195644
24,30.62,2.49236,2.99802,2.47377,0.00365,0.23077,0.00148,0.00053,3.61488,89.6859,7.5964,0.00195446,0.00195446,0.00195446
25,31.266,2.57582,2.90769,2.38239,0.00116,0.15385,0.00052,0.00015,4.15517,153.364,6.5781,0.00195248,0.00195248,0.00195248
26,31.9257,2.66957,3.08139,2.52805,0.01263,0.15385,0.00435,0.00073,3.95163,59.8872,5.40282,0.0019505,0.0019505,0.0019505
27,32.498,2.4556,2.91575,2.42781,0.00659,0.07692,0.0028,0.00059,3.49924,50.3751,4.90315,0.00194852,0.00194852,0.00194852
28,33.243,2.37371,2.91233,2.40867,0.07939,0.07692,0.02654,0.00667,2.96922,34.4082,4.12595,0.00194654,0.00194654,0.00194654
29,33.8089,2.41016,2.78949,2.39166,0.01885,0.23077,0.01141,0.00276,2.8933,55.7418,3.80041,0.00194456,0.00194456,0.00194456
30,34.3388,2.50316,2.91246,2.36963,0.00663,0.15385,0.00255,0.00042,3.73758,104.842,5.20645,0.00194258,0.00194258,0.00194258
31,34.9744,2.31994,2.86719,2.26621,0.00989,0.30769,0.00573,0.00101,3.33843,81.7661,4.07913,0.0019406,0.0019406,0.0019406
32,35.6561,2.41779,2.86018,2.32361,0.0562,0.15385,0.02915,0.0077,2.77052,18.0036,4.99938,0.00193862,0.00193862,0.00193862
33,36.3198,2.5729,2.78496,2.41571,0.05525,0.38462,0.03056,0.00847,2.77235,14.9308,3.86526,0.00193664,0.00193664,0.00193664
34,37.2265,2.39594,2.69526,2.33863,0.0659,0.23077,0.03508,0.01599,2.63487,15.101,3.5167,0.00193466,0.00193466,0.00193466
35,37.8287,2.31581,2.6409,2.28196,0.02891,0.07692,0.02178,0.00922,2.74722,28.0507,3.41656,0.00193268,0.00193268,0.00193268
36,38.4552,2.33129,2.74421,2.29303,0.2,0.07692,0.09964,0.0167,3.144,69.6026,3.71549,0.0019307,0.0019307,0.0019307
37,39.1132,2.30071,2.66146,2.27532,0.01193,0.23077,0.0518,0.00818,3.17206,79.5381,4.43612,0.00192872,0.00192872,0.00192872
38,39.6502,2.46736,2.64579,2.35589,0.01144,0.30769,0.02061,0.00667,3.22172,96.926,4.68187,0.00192674,0.00192674,0.00192674
39,40.3109,2.38821,2.61212,2.2894,0.01821,0.38462,0.19568,0.04007,3.02526,71.9728,3.85663,0.00192476,0.00192476,0.00192476
40,40.9198,2.36509,2.66201,2.32588,0.16667,0.15385,0.13272,0.02164,3.02817,95.3457,4.44176,0.00192278,0.00192278,0.00192278
41,41.5913,2.36674,2.66278,2.30641,0.23077,0.23077,0.05964,0.01035,3.21169,113.749,5.02989,0.0019208,0.0019208,0.0019208
42,42.2162,2.33949,2.47547,2.23184,0.2,0.07692,0.10412,0.02992,2.85814,71.1118,3.95334,0.00191882,0.00191882,0.00191882
43,42.8567,2.30285,2.63868,2.26445,0.0668,0.23077,0.0592,0.01291,2.85599,27.047,3.29267,0.00191684,0.00191684,0.00191684
44,43.5182,2.31513,2.62432,2.23819,0.13471,0.07692,0.03061,0.00975,2.53099,6.14827,2.71208,0.00191486,0.00191486,0.00191486
45,44.2378,2.21402,2.56595,2.20136,0.10294,0.07692,0.04289,0.01486,2.40869,5.33392,2.6534,0.00191288,0.00191288,0.00191288
46,44.8348,2.30763,2.51985,2.16819,0.08634,0.23077,0.07146,0.0189,2.46862,5.14233,2.77394,0.0019109,0.0019109,0.0019109
47,45.4978,2.25852,2.50781,2.2071,0.08773,0.23077,0.06104,0.01424,2.5709,7.58596,2.77713,0.00190892,0.00190892,0.00190892
48,46.1393,2.36528,2.63401,2.33676,0.18429,0.23077,0.16323,0.06365,2.75016,4.80786,2.74676,0.00190694,0.00190694,0.00190694
49,46.7912,2.33669,2.56153,2.26854,0.24184,0.23077,0.19851,0.06192,2.70755,4.65845,2.76801,0.00190496,0.00190496,0.00190496
50,47.4266,2.24512,2.46039,2.24627,0.22273,0.30769,0.09888,0.02521,2.79331,4.87803,2.89333,0.00190298,0.00190298,0.00190298
51,48.0258,2.32968,2.60795,2.30673,0.11738,0.23077,0.05969,0.01172,2.96256,6.63848,3.00741,0.001901,0.001901,0.001901
52,48.6862,2.22803,2.56167,2.24913,0.06498,0.23077,0.04428,0.00995,2.84631,4.67968,2.89871,0.00189902,0.00189902,0.00189902
53,49.2957,2.35886,2.5229,2.30451,0.09278,0.53846,0.11746,0.02166,2.68026,3.49875,2.72004,0.00189704,0.00189704,0.00189704
54,50.1061,2.19877,2.43534,2.23266,0.06122,0.30769,0.07201,0.01925,2.56315,2.90566,2.58605,0.00189506,0.00189506,0.00189506
55,50.8069,2.27587,2.46496,2.25998,0.16947,0.07692,0.07003,0.01903,2.59742,2.83434,2.66619,0.00189308,0.00189308,0.00189308
56,51.5537,2.30711,2.53325,2.2179,0.10501,0.30769,0.10259,0.04188,2.67747,3.49146,2.876,0.0018911,0.0018911,0.0018911
57,52.2531,2.19331,2.44678,2.20141,0.53598,0.15385,0.1726,0.05671,2.65229,4.26332,2.82802,0.00188912,0.00188912,0.00188912
58,52.9738,2.25318,2.4488,2.25667,0.13305,0.15385,0.04601,0.01406,2.55253,5.45602,2.80736,0.00188714,0.00188714,0.00188714
59,53.6477,2.28181,2.45018,2.20109,0.29507,0.15385,0.06452,0.01524,2.76105,5.36192,3.03927,0.00188516,0.00188516,0.00188516
60,54.4499,2.29727,2.45082,2.18494,0.18982,0.15385,0.08877,0.02672,2.86263,3.39454,3.13451,0.00188318,0.00188318,0.00188318
61,55.0205,2.3201,2.48707,2.21893,0.10956,0.23077,0.09509,0.03091,2.64341,3.07416,2.79999,0.0018812,0.0018812,0.0018812
62,55.7252,2.13066,2.34605,2.05416,0.20351,0.15385,0.05569,0.02326,2.8877,5.74212,3.17895,0.00187922,0.00187922,0.00187922
63,56.4824,2.2395,2.32999,2.13873,0.03887,0.07692,0.01809,0.00666,2.98085,13.8518,3.45809,0.00187724,0.00187724,0.00187724
64,57.229,2.09274,2.20575,2.07407,0.01732,0.15385,0.00864,0.00284,2.66172,42.0994,2.84231,0.00187526,0.00187526,0.00187526
65,57.8751,2.22041,2.4059,2.13634,0.13993,0.15385,0.06684,0.00944,2.72059,94.739,2.86659,0.00187328,0.00187328,0.00187328
66,58.7103,2.19122,2.38834,2.16719,0.21877,0.23077,0.1382,0.02436,2.72879,121.683,2.81081,0.0018713,0.0018713,0.0018713
67,59.4277,2.2405,2.45647,2.19026,0.16479,0.07692,0.02601,0.00622,3.14687,89.2887,3.21667,0.00186932,0.00186932,0.00186932
68,60.1967,2.3233,2.49431,2.25575,0.0424,0.30769,0.01756,0.00477,3.23016,15.149,3.28822,0.00186734,0.00186734,0.00186734
69,60.9109,2.27467,2.42515,2.1475,0.24484,0.07692,0.05679,0.0293,2.82789,7.4375,2.97852,0.00186536,0.00186536,0.00186536
70,61.5962,2.25668,2.43179,2.20309,0.82302,0.07692,0.10395,0.04709,2.74331,4.26668,2.80148,0.00186338,0.00186338,0.00186338
71,62.2693,2.20364,2.43953,2.14126,0.73014,0.07692,0.12445,0.05127,2.62775,3.43373,2.68044,0.0018614,0.0018614,0.0018614
72,63.0733,2.11767,2.32193,2.10247,0.67586,0.07692,0.11566,0.04276,2.45462,4.63932,2.62953,0.00185942,0.00185942,0.00185942
73,63.7139,2.22221,2.40589,2.19086,0.12862,0.07692,0.04921,0.01723,2.43104,6.3669,2.61087,0.00185744,0.00185744,0.00185744
74,64.3933,2.12765,2.30599,2.11304,0.17757,0.15385,0.09441,0.02757,2.31052,3.61328,2.39777,0.00185546,0.00185546,0.00185546
75,65.0351,2.11761,2.5559,2.17704,0.14236,0.38462,0.16309,0.06538,2.33683,2.87999,2.42112,0.00185348,0.00185348,0.00185348
76,65.7522,2.09567,2.33651,2.12177,0.56751,0.15385,0.22909,0.0669,2.34332,2.61602,2.43792,0.0018515,0.0018515,0.0018515
77,66.4616,2.10369,2.25838,2.08618,0.09608,0.46154,0.15936,0.05292,2.65185,2.42951,2.53648,0.00184952,0.00184952,0.00184952
78,67.0403,2.18189,2.35268,2.17443,0.20433,0.15385,0.14633,0.06138,2.75721,2.56002,2.65499,0.00184754,0.00184754,0.00184754
79,67.8449,2.22061,2.32127,2.15473,0.38947,0.23077,0.19217,0.06884,2.74902,2.63448,2.74431,0.00184556,0.00184556,0.00184556
80,68.4815,2.17027,2.28868,2.07762,0.20465,0.15385,0.14905,0.04681,2.723,2.84512,2.67238,0.00184358,0.00184358,0.00184358
81,69.1306,2.14981,2.31254,2.0933,0.11435,0.30769,0.15926,0.04423,2.85859,2.94596,2.74353,0.0018416,0.0018416,0.0018416
82,69.8017,2.20504,2.33108,2.13674,0.44856,0.15385,0.16723,0.04386,2.66658,2.93085,2.60209,0.00183962,0.00183962,0.00183962
83,70.5217,2.2009,2.26063,2.15423,0.54079,0.15385,0.16882,0.06773,2.48477,2.94979,2.47003,0.00183764,0.00183764,0.00183764
84,71.2378,2.13751,2.34461,2.15861,0.08534,0.38462,0.11404,0.05107,2.33383,2.60269,2.42973,0.00183566,0.00183566,0.00183566
85,72.039,2.10017,2.36152,2.00326,0.20074,0.15385,0.09829,0.03501,2.32778,2.49351,2.40418,0.00183368,0.00183368,0.00183368
86,72.7134,2.03217,2.30648,2.05554,0.25893,0.23077,0.14568,0.03537,2.40552,2.52241,2.36098,0.0018317,0.0018317,0.0018317
87,73.4202,2.14107,2.2335,2.08311,0.2588,0.23077,0.16075,0.04064,2.53516,2.51358,2.46901,0.00182972,0.00182972,0.00182972
88,74.121,2.12557,2.15476,2.08602,0.39952,0.07692,0.0547,0.02698,2.68368,4.35497,2.60607,0.00182774,0.00182774,0.00182774
89,74.7836,2.06445,2.2217,2.0541,0.38973,0.07692,0.04525,0.01919,2.61289,6.4134,2.44781,0.00182576,0.00182576,0.00182576
90,75.465,2.11708,2.41841,2.063,0.30708,0.07692,0.045,0.01305,2.68081,7.13058,2.54049,0.00182378,0.00182378,0.00182378
91,76.2698,2.18427,2.24687,2.05218,0.31199,0.07692,0.05865,0.01944,2.64412,5.97971,2.55216,0.0018218,0.0018218,0.0018218
92,76.9735,2.13663,2.14146,2.07472,0.07508,0.15385,0.06172,0.01518,2.55459,4.95127,2.66668,0.00181982,0.00181982,0.00181982
93,77.6619,2.05536,2.11052,1.97296,0.06078,0.23077,0.04286,0.01313,2.67102,6.01892,2.95064,0.00181784,0.00181784,0.00181784
94,78.3694,2.08983,2.27404,2.0253,0.70334,0.07692,0.11416,0.02567,3.1122,6.94777,3.53027,0.00181586,0.00181586,0.00181586
95,78.8946,2.06671,2.31931,2.06485,0.18201,0.15385,0.13474,0.03422,2.94672,4.93531,3.25239,0.00181388,0.00181388,0.00181388
96,79.5623,2.1325,2.19388,2.03555,0.20647,0.23077,0.16641,0.04918,2.69462,2.89581,2.5728,0.0018119,0.0018119,0.0018119
97,80.3185,2.1121,2.29017,2.07721,0.12168,0.30769,0.14167,0.04745,2.60578,2.8332,2.60832,0.00180992,0.00180992,0.00180992
98,80.9638,2.10717,2.16531,2.08456,0.13191,0.23077,0.13315,0.05018,2.54123,2.64614,2.48872,0.00180794,0.00180794,0.00180794
99,81.7082,2.15036,2.33362,2.10922,0.10774,0.38462,0.15127,0.06066,2.49477,2.72859,2.44185,0.00180596,0.00180596,0.00180596
100,82.4773,2.12643,2.32385,2.16626,0.1904,0.38462,0.22713,0.06321,2.5083,3.06855,2.48802,0.00180398,0.00180398,0.00180398
101,83.1646,2.23796,2.42525,2.2255,0.20545,0.30769,0.24599,0.043,2.54275,3.90332,2.56905,0.001802,0.001802,0.001802
102,83.84,2.08702,2.1413,2.05071,0.10953,0.15385,0.11152,0.02642,2.98118,4.69034,3.0949,0.00180002,0.00180002,0.00180002
103,84.5162,2.12226,2.22651,2.10975,0.11033,0.38462,0.06336,0.01705,2.99493,5.68867,3.53226,0.00179804,0.00179804,0.00179804
104,85.1753,1.91722,2.16032,1.94467,0.00315,0.15385,0.00315,0.00083,3.38428,7.99553,4.49307,0.00179606,0.00179606,0.00179606
